1,1,010013001   INTRODUCTION TO ENGINEERING,1,B
1,2,010123102 PROGRAMMING FUNDAMENTALS,3,A
1,3,010123130 COMPUTER ENGINEERING EXPLORATION,1,B+
1,4,040203111 ENGINEERING MATHEMATICS I,3,C+
1,5,040313005 PHYSICS I,3,C
1,6,040313006 PHYSICS LABORATORY I,1,B
1,7,080103001 ENGLISH I,3,C
1,8,080203901 MAN AND SOCIETY,3,B+
1,9,080303505 TABLE TENNIS,1,B+
2,1,010113010 ELECTRIC CIRCUIT THEORY,3,D
2,2,010113011 ELECTRIC CIRCUIT LAB,1,B+
2,3,010123103 ALGORITHMS AND DATA STRUCTUR,3,A
2,4,010403006 WORK ETHICS,1,A
2,5,040203112 ENGINEERING MATHEMATICS II,3,C
2,6,040313007 PHYSICS II,3,C+
2,7,040313008 PHYSICS LABORATORY II,1,A
2,8,080103002 ENGLISH II,3,C+
2,9,080303501 BASKETBALL,1,B
3,1,010123105 STATISTICS FOR COMPUTER ENGINEERING,3,C+
3,2,010123107 LOGIC DESIGN OF DIGITAL SYSTEM,3,D+
3,3,010123108 DIGITAL SYSTEM DESIGN  LABBORATORY,1,A
3,4,010123131 SOFTWARE DEVELOPMENT PRACTIC,3,C+
3,5,010123133 DISCRETE MATHEMATICS,3,C+
3,6,040313016 PHYSICS IN DAILY LIFE,3,A
4,1,010123114 ANALOG AND DIGITAL ELECTRONI,3,C+
4,2,010123126 COMPUTER NETWORKS I,3,B
4,3,010123129 UBIQUITOUS COMPUTING,3,B+
4,4,010123132 SOFTWARE DEVELOPMENT PRACTIC,3,C
4,5,010123134 COMPUTER ORGANIZATION,3,B
4,6,030953115 MEDITATION FOR SELF DEV,3,A
4,7,040203100 GENERAL MATHEMATICS,3,A
5,1,010123115 ANALOG AND DIGITAL ELECTRONICS LABBORATORY,1,B+
5,2,010123116 SOFTWARE ENGINEERING,3,B
5,3,010123117 OPERATING SYSTEMS,3,B
5,4,010123119 EMBEDDED SYSTEM DESIGN,3,B
5,5,010123127 COMPUTER NETWORKS II,3,B+
5,6,040313017 EXERCISE SKILL AND SPORT,3,A
5,7,080103034 ENGLISH CONVERSATION,3,C+
5,8,080303104 PSYCHOLOGY FOR WORK,3,A